powerGenerated
1196.755
834.144
180.214
154.379
3000
102.315
2.530.956
3000
529.221
1.857.502
2.447.602
422.23
0
1.311.833
22.604
3000
248.844
646.722
0
0
1.276.925
43.041
640.311
61.966
3000
86.797
0
688.955
2.215.283
2.497.986
692.35
0
1.095.355
2.488.818
2.695.122
2.542.767
3000
142.977
3000
859.683
63.531
2.751.892
0
1.085.636
0
2.172.396
1.155.069
2779.2
380.814
65.879
3000
122.381
0
694.544
2.228.894
165.35
3000
2.921.792
0
244.214
1.051.597
2.236.569
2.747.007
625.477
481.727
0
406.486
560.597
2.987.665
114.633
1.204.801
156.973
462.265
62.88
514.747
2.690.223
64.467
217.325
36.271
138.253
515.147
254.478
921.097
189.056
0
2.289.237
854.08
54.51
1.791.183
0
3000
2.043.657
1.971.767
886.365
0
3000
540.447
1.815.006
0
2.883.604
2323.92
3000
456.261
2.005.644
62.011
809.126
500.517
0
1572.22
973.738
281.926
978.861
1.338.837
3000
1.589.884
392.328
1.296.495
936.475
3000
155.845
1.913.584
588.626
208.065
0
670.12
2.418.148
0
348.663
173.058
100.594
58.225
34.35
1.928.941
26.55
1479.52
366.547
0
0
173.907
0
2.320.366
695.555
64.745
184.917
0
1.026.344
436.81
1.188.504
3000
427.068
886.428
3000
376.949
0
34.056
442.642
3000
1.000.194
158.961
3000
2.234.992
3000
2.278.453
54.017
3000
307.635
0
0
268.287
153.454
293.831
0
2.872.735
174.723
1.442.843
1.494.686
798.683
0
3000
68.219
705.258
464.679
3000
61.723
2.104.316
2.521.649
2.461.009
318.589
2.892.655
2.800.513
710.662
0
3000
0
302.246
192.381
662.286
1.033.495
178.143
3000
1.806.018
3000
1.862.214
778.994
1.644.221
1.304.964
1.439.117
0
244.1
299.881
843.517
1.102.537
2.585.144
2.437.481
718.196
157.016
366.639
0
216.263
72.024
2.415.708
989.004
257.605
185.404
0
1.212.076
1.882.066
2.731.884
2.949.719
567.683
1.068.141
507.91
817.82
590.233
1.102.071
0
0
3000
0
2.980.286
628.95
340.051
91.052
525.27
156.087
3000
398.322
63.385
842.797
1.169.632
3000
1.557.626
50.883
983.246
1.401.216
985.55
2692.91
2.949.928
151.904
0
825.854
159.134
0
245.634
2.623.864
206.948
24.566
466.359
308.696
855.873
165.532
378.287
3000
2.197.192
811.692
156.041
1.047.278
0
3000
0
1.969.769
416.823
406.693
1.149.288
1138.93
225.704
3000
1.063.494
1.244.244
211.408
126.23
53.283
78.983
747.058
111.07
875.051
3000
443.362
1.710.262
0
0
940.711
1.729.177
3000
0
3000
1.420.649
2.172.517
1.205.219
1.274.989
2.745.332
0
1638.18
54.985
2.385.644
1.617.981
786.506
2.547.061
0
3000
151.838
1227.42
3000
0
2841.02
659.831
915.787
533.75
1.868.318
1204.25
3000
1.909.624
1.494.385
753.4
3000
0
71.4
141.284
0
1.422.156
680.494
1.633.354
1025.41
1.027.203
3000
310.014
101.119
1.093.672
2.099.425
73.254
672.356
214.077
484.811
204.564
2.287.991
510.612
510.612
2.179.294
491.214
330.853
3000
1.760.376
764.428
820.036
3000
